student_id,response,right_answer,seed_id,grade,question
1,"ans1: x^2+y^2=4  ans2: ""Point""  ans3: ""Circle""","ans1: y^2+x^2 = 4  ans2: ""Point""  ans3: ""Circle""  ansa: 2  ansb: 0",854304650,0.6,Q. 1
1,"ans1: y=18*t^2+9*t-1  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(0,-1)","ans1: y = 2*x^2+3*x-1  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-3,3)  ansa: 2  ansb: 3  ansc: -1",1225488973,0.4,Q. 2
1,ans1: t/3  ans2: 3*t^2  ans3: 0  ans4: 5*sin(theta)^5,ans1: t/3  ans2: 3*t^2  ans3: 0  ans4: 5*sin(theta)^2,1509813580,0.75,Q. 3
1,ans1: y=-8/5-8/5,ans1: y = -((8*x)/5)-8/5,163677917,0.0,Q. 4
1,"ans1: 2/(4*t^2-3*t-4)  ans2: [t=2,t=-1,t=0]  ans_test: true  ans_yn1: true ; ans3: 2  ans4: (0,0)  ans7: 2/3  ans9: y=2*x/3+1  ans5: (0,1)  ans8: 1/3  ans10: (0,4)  ans6: (0,4)","ans1: (2*t)/(4*t^3-3*t^2-4*t)  ans2: [t = 2,t = -1,t = 0]  ans_test: false  ans_yn1: true  ans3: 0  ans4: oo(0,0)  ans7: 2/3  ans9: y = (2*x)/3+1  ans5: oo(0,1)  ans8: 1/3  ans10: y = x/3+4  ans6: oo(0,4)",1500539490,0.57,Q. 5
1,"ans1: 2/(5*t^3+4*t^2-6*t)  ans2: [t=1,t=-2,t=0]  ans_test: false  ans_yn1: true ; ans3: 2  ans4: (0,0)  ans7: 1/6  ans9: y=x/6+4  ans5: (0,4)  ans8: 2/3  ans10: y=2*x/3+1  ans6: (0,1)","ans1: (2*t)/(5*t^4+4*t^3-6*t^2)  ans2: [t = 1,t = -2,t = 0]  ans_test: false  ans_yn1: true  ans3: 1  ans4: oo(0,0)  ans7: -(1/6)  ans9: y = 4-x/6  ans5: oo(0,4)  ans8: 2/3  ans10: y = (2*x)/3+1  ans6: oo(0,1)",1610636500,0.57,Q. 6
2,"ans1: x^2+y^2=9  ans2: ""Point""  ans3: ""Circle""  ansa: 2.1434664713541665  ansb: -0.2848002929687503","ans1: y^2+x^2 = 9  ans2: ""Point""  ans3: ""Circle""  ansa: 3  ansb: 0",706581349,0.6,Q. 1
2,"ans1: y=8*x^2+2*x+5  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(0,5)","ans1: y = 2*x^2+x+5  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-2,2)  ansa: 2  ansb: 1  ansc: 5",803970823,0.4,Q. 2
2,ans1: t/3  ans2: 3*t^2  ans3: 7*cos(theta)^4  ans4: 0,ans1: t/3  ans2: 4*t^2  ans3: 7*cos(theta)^4  ans4: 0,388823646,0.75,Q. 3
2,"ans1: 2/(5*t^3-4*t^2-18*t)  ans2: [t=0,t=-2,t=3]  ans_test: true  ans_yn1: true ; ans3: 2  ans4: (0,0)  ans7: -(1/10)  ans9: y=-(1/10)*x+4  ans5: (0,4)  ans8: 2/45  ans10: y=2/45*x-9  ans6: (0,9)","ans1: (2*t)/(5*t^4-4*t^3-18*t^2)  ans2: [t = 3,t = -2,t = 0]  ans_test: false  ans_yn1: true  ans3: 0  ans4: oo(0,0)  ans7: -(1/10)  ans9: y = 4-x/10  ans5: oo(0,4)  ans8: 2/45  ans10: y = (2*x)/45+9  ans6: oo(0,9)",1754056713,0.43,Q. 5
2,"ans1: 2/(5*t^3-27*t)  ans2: [t=0,t=-3,t=3]  ans_test: false  ans_yn1: true ; ans3: 2  ans4: (0,0)  ans7: -1/27  ans9: y=-1/27*x+9  ans5: (0,9)  ans8: 1/27  ans10: y=1/27*x-9  ans6: (0,9)","ans1: (2*t)/(5*t^4-27*t^2)  ans2: [t = -3,t = 3,t = 0]  ans_test: false  ans_yn1: true  ans3: 0  ans4: oo(0,0)  ans7: -(1/27)  ans9: y = 9-x/27  ans5: oo(0,9)  ans8: 1/27  ans10: y = x/27+9  ans6: oo(0,9)",1047607242,0.57,Q. 6
3,"ans1: x^2+y^2=9  ans2: ""Point""  ans3: ""Circle""","ans1: y^2+x^2 = 9  ans2: ""Point""  ans3: ""Circle""  ansa: 3  ansb: 0",511833188,0.6,Q. 1
3,"ans1: y=x^2-5*x+3  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-5,1)","ans1: y = x^2-5*x+3  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-1,1)  ansa: 1  ansb: -5  ansc: 3",1404122116,0.6,Q. 2
3,ans1: -t/4  ans2: 5* t^2  ans3: 2*cos(theta)^4  ans4: 0,ans1: t/4  ans2: 5*t^2  ans3: 2*cos(theta)^4  ans4: 0,350980290,0.75,Q. 3
3,"ans1: 2/(5*t^3-3*t)  ans2: [t=1,t=-1,t=0]  ans_test: false  ans_yn1: true ; ans3: 2  ans4: (0,0)  ans7: -1  ans9: y= -x+1  ans5: (0,1)  ans8: 1  ans10: y=x+1  ans6: (0,1)","ans1: (2*t)/(5*t^4-3*t^2)  ans2: [t = -1,t = 1,t = 0]  ans_test: false  ans_yn1: true  ans3: 0  ans4: oo(0,0)  ans7: -1  ans9: y = 1-x  ans5: oo(0,1)  ans8: 1  ans10: y = x+1  ans6: oo(0,1)",243526710,0.57,Q. 5
3,"ans1: 2/(5*t^3-8*t^2-9*t)  ans2: [t=3,t=-1,t=0]  ans_test: false  ans_yn1: true ; ans3: 2  ans4: (0,0)  ans7: -1/2  ans9: y=-x/2+1  ans5: (0,1)  ans8: 1/18  ans10: y=x/18+9  ans6: (0,9)","ans1: (2*t)/(5*t^4-8*t^3-9*t^2)  ans2: [t = 3,t = -1,t = 0]  ans_test: false  ans_yn1: true  ans3: 1  ans4: oo(0,0)  ans7: -(1/2)  ans9: y = 1-x/2  ans5: oo(0,1)  ans8: 1/18  ans10: y = x/18+9  ans6: oo(0,9)",1965818410,0.71,Q. 6
4,"ans1: x^2+y^2=1  ans2: ""Point""  ans3: ""Circle""","ans1: y^2+x^2 = 1  ans2: ""Point""  ans3: ""Circle""  ansa: 1  ansb: 0",1504181159,0.6,Q. 1
4,"ans1: y=-x^2+2*x-3  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-2,2)","ans1: y = -x^2+2*x-3  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-2,2)  ansa: -1  ansb: 2  ansc: -3",1648211958,0.8,Q. 2
4,"ans1: 2*t/(5*t^4-48*t^2)  ans2: [t=0,t=-4,t=4]  ans_test: true  ans_yn1: true ; ans3: 0  ans4: oo(0,0)  ans7: -1/64  ans9: y=16-x/64  ans5: oo(0,16)  ans8: 1/64 ; ans10: y=x/64+16  ans6: oo(0,16)","ans1: (2*t)/(5*t^4-48*t^2)  ans2: [t = -4,t = 4,t = 0]  ans_test: false  ans_yn1: true  ans3: 2  ans4: oo(0,0)  ans7: -(1/64)  ans9: y = 16-x/64  ans5: oo(0,16)  ans8: 1/64  ans10: y = x/64+16  ans6: oo(0,16)",75667105,0.57,Q. 5
4,"ans1: 2*t/(3*t^2-2*t-2)  ans2: [t=0,t=-1,t=2]  ans_test: true  ans_yn1: true ; ans3: 0  ans4: oo(0,0)  ans7: -2/3  ans9: y=1-2/3*x  ans5: oo(0,1)  ans8: 2/3  ans10: y=2/3*x+4  ans6: oo(0,4)","ans1: (2*t)/(3*t^2-2*t-2)  ans2: [t = 2,t = -1,t = 0]  ans_test: true  ans_yn1: true  ans3: 1  ans4: oo(0,0)  ans7: -(2/3)  ans9: y = 1-(2*x)/3  ans5: oo(0,1)  ans8: 2/3  ans10: y = (2*x)/3+4  ans6: oo(0,4)",11050265,0.71,Q. 6
5,"ans1: x^2+y^2=1  ans2: ""Point""  ans3: ""Circle""","ans1: y^2+x^2 = 1  ans2: ""Point""  ans3: ""Circle""  ansa: 1  ansb: 0",1504181159,0.6,Q. 1
5,"ans1: y=4*x-3*x^2  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-2,2)","ans1: y = -(3*x^2)+4*x+4  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-2,2)  ansa: -3  ansb: 4  ansc: 4",451992478,0.6,Q. 2
5,ans1: -t/10  ans2: t^2  ans3: 2*cos(theta) ^2  ans4: 0,ans1: t/5  ans2: 4*t^2  ans3: 2*cos(theta)^2  ans4: 0,1086258088,0.5,Q. 3
5,"ans1: 2*t/(3*t^2-4*t-3)  ans2: [t=0,t=-1,t=3]  ans_test: true  ans_yn1: true ; ans3: 0  ans4: oo(0,0)  ans7: -1/2  ans9: y=1-x/2  ans5: oo(0,1)  ans8: 1/2  ans10: y=x/2+9  ans6: oo(0,9)","ans1: (2*t)/(3*t^2-4*t-3)  ans2: [t = 3,t = -1,t = 0]  ans_test: false  ans_yn1: true  ans3: 1  ans4: oo(0,0)  ans7: -(1/2)  ans9: y = 1-x/2  ans5: oo(0,1)  ans8: 1/2  ans10: y = x/2+9  ans6: oo(0,9)",1798450702,0.57,Q. 5
5,"ans1: 2*t/(5*t^4+4*t^3-6*t^2)  ans2: [t=0,t=-2,t=-1]  ans_test: true  ans_yn1: true ; ans3: 0  ans4: oo(0,0)  ans7: -1/6  ans9: y=4-x/6  ans5: oo(0,4)  ans8: 2/3  ans10: y=2/3*x+1  ans6: oo(0,1)","ans1: (2*t)/(5*t^4+4*t^3-6*t^2)  ans2: [t = 1,t = -2,t = 0]  ans_test: false  ans_yn1: true  ans3: 1  ans4: oo(0,0)  ans7: -(1/6)  ans9: y = 4-x/6  ans5: oo(0,4)  ans8: 2/3  ans10: y = (2*x)/3+1  ans6: oo(0,1)",1610636500,0.57,Q. 6
6,"ans1: x^2+y^2=1  ans2: ""Point""  ans3: ""Circle""","ans1: y^2+x^2 = 1  ans2: ""Point""  ans3: ""Circle""  ansa: 1  ansb: 0",1326210311,0.6,Q. 1
6,"ans1: y=4*x^2-3*x-2  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-2,2) ;","ans1: y = 4*x^2-3*x-2  ans2: ""Point""  ans3: ""Parabola""  ans4: cc(-3,3)  ansa: 4  ansb: -3  ansc: -2",617707661,0.6,Q. 2
6,ans1: t/4  ans2: t^2  ans3: 0  ans4: 7*sin(theta)^2,ans1: -(t/4)  ans2: t^2  ans3: 0  ans4: 7*sin(theta)^2,1241826385,0.75,Q. 3
6,ans1: y=3*x+14,ans1: y = 3*x-14,2090009098,0.0,Q. 4
6,"ans1: 2*t/(4*t^3-2*t)  ans2: [t=0,t=-1,t=1]  ans_test: true  ans_yn1: true ; ans3: 0  ans4: oo(0,0)  ans7: 1  ans9: y=x+1  ans5: oo(0,1)  ans8: 1  ans10: y=x+1  ans6: oo(0,1)","ans1: (2*t)/(4*t^3-2*t)  ans2: [t = -1,t = 1,t = 0]  ans_test: false  ans_yn1: true  ans3: 2  ans4: oo(0,0)  ans7: 1  ans9: y = x+1  ans5: oo(0,1)  ans8: 1  ans10: y = x+1  ans6: oo(0,1)",1316203166,0.57,Q. 5
